year_month,formatted_date,total_volume,top_volume,aprabi,stock_count,top_stock_count
201001,2010-01,316253380778.0,92486928518.0,0.2924456595229979,1452,72
201002,2010-02,168094611044.0,50745781901.0,0.30188821393992765,1477,73
201003,2010-03,294503745240.0,75367836897.0,0.25591469757228547,1506,75
201004,2010-04,325318729122.0,79366433006.0,0.2439651514076715,1532,76
201005,2010-05,232817451600.0,67398313143.0,0.2894899530933617,1551,77
201006,2010-06,183359997695.0,53031484303.0,0.2892205768414781,1570,78
201007,2010-07,268743781355.0,82830592829.0,0.3082139888460676,1587,79
201008,2010-08,346235909949.0,96897583493.0,0.2798600050100894,1609,80
201009,2010-09,295937483566.0,77934247881.0,0.26334699796019284,1641,82
201010,2010-10,411203265655.0,145518465294.0,0.35388450785332565,1652,82
201011,2010-11,496101481444.0,145302457354.0,0.2928885778189351,1676,83
201012,2010-12,299439687563.0,97143336478.0,0.3244170379304237,1709,85
201101,2011-01,224494371529.0,88187996533.0,0.39282943234774126,1730,86
201102,2011-02,233740957544.0,80829478030.0,0.34580793575633595,1758,87
201103,2011-03,393013845254.0,126901622440.0,0.32289351627799534,1785,89
201104,2011-04,309596898814.0,112158808724.0,0.3622736828232343,1801,90
201105,2011-05,239019582925.0,82490888762.0,0.34512188395828697,1824,91
201106,2011-06,225987540967.0,82245739126.0,0.3639392630853486,1850,92
201107,2011-07,282607920251.0,85245503371.0,0.3016387626195638,1875,93
201108,2011-08,261614606737.0,84481752558.0,0.32292444833911405,1902,95
201109,2011-09,170872382414.0,60564995993.0,0.3544457866003146,1921,96
201110,2011-10,171769374550.0,65608606530.0,0.38195753289479506,1928,96
201111,2011-11,246176523185.0,74991346001.0,0.30462427948356596,1943,97
201112,2011-12,172205259642.0,57797814685.0,0.33563327162687545,1964,98
201201,2012-01,154149586250.0,55721082352.0,0.3614740960876241,1971,98
201202,2012-02,292992278114.0,90126663427.0,0.30760764074448654,1983,99
201203,2012-03,309127169779.0,93653547811.0,0.3029612307386453,2009,100
201204,2012-04,236722443079.0,75009833529.0,0.3168682806469998,2015,100
201205,2012-05,290210938336.0,92620130431.0,0.319147620562001,2035,101
201206,2012-06,198267345952.0,62596488587.0,0.31571758973439046,2058,102
201207,2012-07,209253243808.0,66779091545.0,0.31913049628168755,2076,103
201208,2012-08,214264263322.0,64055714627.0,0.29895659515901624,2087,104
201209,2012-09,221631338086.0,71603167714.0,0.3230732997073532,2100,105
201210,2012-10,187940383580.0,62592979900.0,0.3330469945186434,2103,105
201211,2012-11,185152288079.0,64641709133.0,0.3491272498097293,2109,105
201212,2012-12,330415400515.0,116256925260.0,0.35185080682921205,2106,105
201301,2013-01,403363162351.0,128525384418.0,0.318634412892071,2098,104
201302,2013-02,269875628909.0,96520951520.0,0.3576497511472076,2106,105
201303,2013-03,349911978326.0,121653146421.0,0.3476678535070334,2103,105
201304,2013-04,232469839420.0,81713751388.0,0.35150259316163984,2102,105
201305,2013-05,382802909502.0,111456821064.0,0.29115980651504864,2101,105
201306,2013-06,256288062336.0,82451545426.0,0.32171434234772894,2087,104
201307,2013-07,368922879052.0,115051371393.0,0.3118575125745547,2098,104
201308,2013-08,407446866500.0,111845146029.0,0.2745024081047878,2102,105
201309,2013-09,436664293997.0,153725648976.0,0.3520453838093209,2091,104
201310,2013-10,379751591610.0,123204326433.0,0.3244339962096308,2098,104
201311,2013-11,353162805582.0,117309743718.0,0.3321690219463446,2090,104
201312,2013-12,344136086306.0,107205451606.0,0.31152051723711044,2095,104
201401,2014-01,288928851822.0,88514421071.0,0.30635369404205764,2126,106
201402,2014-02,355328438808.0,105829473307.0,0.2978356409130102,2112,105
201403,2014-03,378564224289.0,116988198833.0,0.3090313118011119,2110,105
201404,2014-04,321298592707.0,104266272725.0,0.3245151864704336,2091,104
201405,2014-05,250206787597.0,76777752095.0,0.30685719133512657,2065,103
201406,2014-06,279696657497.0,80170756151.0,0.2866346593786517,2076,103
201407,2014-07,499584217989.0,147245587871.0,0.29473626781829626,2085,104
201408,2014-08,553009742607.0,158063173171.0,0.28582348735097896,2094,104
201409,2014-09,675127746713.0,199975729765.0,0.29620428243191527,2119,105
201410,2014-10,577789368254.0,200584012119.0,0.347157672224287,2098,104
201411,2014-11,814535218121.0,345984681937.0,0.42476331807374795,2111,105
201412,2014-12,1515809626452.0,795459499317.0,0.5247753315691119,2153,107
201501,2015-01,952931260161.0,466606551760.0,0.4896539459532115,2161,108
201502,2015-02,521013533359.0,228140043522.0,0.4378773849714994,2141,107
201503,2015-03,1361400987405.0,561180003161.0,0.4122077245078829,2178,108
201504,2015-04,1773972101978.0,821113235399.0,0.4628670510000969,2210,110
201505,2015-05,1591185686593.0,653681404045.0,0.41081402978469683,2226,111
201506,2015-06,1860915276156.0,813475960833.0,0.4371375587358049,2236,111
201507,2015-07,1867247886189.0,794222125075.0,0.4253437001854022,2186,109
201508,2015-08,1334151192164.0,446978442997.0,0.3350283278404142,2146,107
201509,2015-09,881200518065.0,280701611920.0,0.31854453800865173,2151,107
201510,2015-10,972136674332.0,272381227000.0,0.28018820212411566,2181,109
201511,2015-11,1272626024615.0,366777888296.0,0.2882055538719312,2241,112
201512,2015-12,984578567835.0,270108176545.0,0.2743388748944065,2315,115
201601,2016-01,721196542665.0,211128346131.0,0.2927473076213433,2322,116
201602,2016-02,542519729830.0,150447798642.0,0.277313045719357,2319,115
201603,2016-03,917069378276.0,258672945493.0,0.282064750629096,2341,117
201604,2016-04,710184267208.0,172471727632.0,0.24285489780004685,2326,116
201605,2016-05,570059941785.0,148359344425.0,0.260252183236117,2325,116
201606,2016-06,678231648397.0,166189222962.0,0.24503312895348972,2347,117
201607,2016-07,786864563309.0,196520697313.0,0.2497516173387856,2384,119
201608,2016-08,731690577252.0,213496513696.0,0.29178524410936907,2421,121
201609,2016-09,535503344329.0,143640799314.0,0.2682351115733661,2454,122
201610,2016-10,512158488556.0,142777125805.0,0.27877527951855585,2463,123
201611,2016-11,898952330366.0,301559264869.0,0.33545634699697924,2518,125
201612,2016-12,667731686436.0,237514013257.0,0.35570277415577606,2564,128
201701,2017-01,468959536797.0,151904118735.0,0.32391732509057647,2604,130
201702,2017-02,578607598236.0,193393860803.0,0.33424009880374805,2623,131
201703,2017-03,728562268114.0,228222702432.0,0.3132507850328167,2678,133
201704,2017-04,652280600924.0,250298169694.0,0.3837277535763528,2714,135
201705,2017-05,578446389229.0,221730080749.0,0.38332001872211485,2735,136
201706,2017-06,608877733903.0,205488207079.0,0.33748681490089805,2768,138
201707,2017-07,754273771003.0,281064154888.0,0.3726288327834246,2798,139
201708,2017-08,906205279409.0,354162637541.0,0.3908194374810686,2834,141
201709,2017-09,801442522786.0,292292737177.0,0.364708296436434,2902,145
201710,2017-10,535310574925.0,194102323106.0,0.36259758764002525,2923,146
201711,2017-11,745212894729.0,318479745806.0,0.4273674651346668,2968,148
201712,2017-12,555677427918.0,227346091643.0,0.4091332133011329,2978,148
201801,2018-01,818954758793.0,366018826281.0,0.4469341222468131,2990,149
201802,2018-02,495429283505.0,227881055725.0,0.459966867749149,2986,149
201803,2018-03,731943576748.0,261192080306.0,0.3568472879651016,2984,149
201804,2018-04,553673339655.0,189257444329.0,0.3418214871009112,2985,149
201805,2018-05,602511449212.0,186604135811.0,0.30971052260509224,3027,151
201806,2018-06,515899940045.0,176250381688.0,0.3416367555162467,3046,152
201807,2018-07,625536303152.0,207781167814.0,0.33216484281890024,3065,153
201808,2018-08,571797257380.0,194444279123.0,0.3400580828490717,3102,155
201809,2018-09,442883161553.0,153114327934.0,0.34572171901296533,3132,156
201810,2018-10,513817083496.0,183991749988.0,0.35808803540770623,3153,157
201811,2018-11,794239434692.0,245395043993.0,0.3089685972192533,3174,158
201812,2018-12,521528595412.0,162495742539.0,0.31157590200903695,3188,159
201901,2019-01,677197777059.0,219494453993.0,0.3241216398350298,3205,160
201902,2019-02,891762050582.0,312286122968.0,0.3501899668910439,3211,160
201903,2019-03,1698883953372.0,548953074529.0,0.32312570463651746,3221,161
201904,2019-04,1443872694811.0,443205824226.0,0.30695630287822206,3231,161
201905,2019-05,894119652049.0,299451412439.0,0.33491201289756384,3241,162
201906,2019-06,778265682117.0,263931481690.0,0.33912773973544175,3252,162
201907,2019-07,779970704462.0,256727590157.0,0.3291502984513795,3289,164
201908,2019-08,796835190198.0,267457218479.0,0.33564935606388246,3304,165
201909,2019-09,885722486271.0,280535128748.0,0.3167302773683518,3315,165
201910,2019-10,606219464789.0,193915239247.0,0.3198762997728783,3330,166
201911,2019-11,666273710253.0,227609406601.0,0.3416154698863494,3361,168
201912,2019-12,925792941168.0,319559479601.0,0.345173813053529,3390,169
202001,2020-01,870427475900.0,276818166928.0,0.318025538706458,3406,170
202002,2020-02,1497869468126.0,488987172863.0,0.326455130616139,3427,171
202003,2020-03,1539788557644.0,483642119943.0,0.31409645015352705,3440,172
202004,2020-04,1077113806599.0,354594253987.0,0.32920778827135794,3462,173
202005,2020-05,839865465723.0,273615162178.0,0.32578451352617266,3477,173
202006,2020-06,1066357354832.0,358496427015.0,0.3361878880382267,3504,175
202007,2020-07,2099344178474.0,700821217375.0,0.3338286425641852,3554,177
202008,2020-08,1539139434788.0,490786430281.0,0.3188706748642306,3613,180
202009,2020-09,1208837025224.0,412046401440.0,0.3408618307034788,3681,184
202010,2020-10,751789194402.0,245037194210.0,0.3259387020119534,3706,185
202011,2020-11,1193263196451.0,414680713653.0,0.3475182297470853,3728,186
202012,2020-12,1291837735245.0,468147642186.0,0.36238888941978054,3783,189
202101,2021-01,1335339066741.0,524984352032.0,0.3931468531908271,3815,190
202102,2021-02,925170508811.0,382385058235.0,0.41331306455761246,3842,192
202103,2021-03,1419135253145.0,588083955798.0,0.4143959883279093,3881,194
202104,2021-04,1155008851080.0,439171539042.0,0.38023218491472965,3935,196
202105,2021-05,1129105786397.0,446591467371.0,0.39552668381594486,3976,198
202106,2021-06,1349705981344.0,497275940121.0,0.3684327898034699,4025,201
202107,2021-07,1602256013650.0,626865517215.0,0.39123929751212266,4073,203
202108,2021-08,1781893328681.0,675750488931.0,0.3792317295621768,4114,205
202109,2021-09,1923680330098.0,800511996689.0,0.41613566670311525,4154,207
202110,2021-10,1054696741807.0,422331649968.0,0.4004294630174205,4186,209
202111,2021-11,1518479656434.0,541007893535.0,0.35628260888624863,4298,214
202112,2021-12,1744519804775.0,619144725474.0,0.3549083958687728,4343,217
202201,2022-01,1409173009054.0,495729314177.0,0.35178740367003686,4375,218
202202,2022-02,1091843374963.0,402396811837.0,0.368548109613832,4392,219
202203,2022-03,1696495664308.0,582060076150.0,0.3430955282679264,4427,221
202204,2022-04,1402192017371.0,497138946130.0,0.3545441280304081,4462,223
202205,2022-05,1298547684971.0,444245995115.0,0.34210988187539776,4479,223
202206,2022-06,1708474374901.0,579934621521.0,0.33944589982779527,4508,225
202207,2022-07,1512672722603.0,519358114572.0,0.3433380577381544,4543,227
202208,2022-08,1600629040044.0,504061942057.0,0.31491490498207114,4593,229
202209,2022-09,1165172478706.0,393038846142.0,0.33732245939974076,4642,232
202210,2022-10,920549166712.0,303196910187.0,0.32936525407975,4673,233
202211,2022-11,1507474780561.0,504047569571.0,0.3343655071850827,4707,235
202212,2022-12,1330930611235.0,478676656175.0,0.3596556064863707,4767,238
202301,2023-01,918193298363.0,331035167753.0,0.3605288432655583,4777,238
202302,2023-02,1294303809267.0,435056126453.0,0.33613138069908355,4801,240
202303,2023-03,1511477767611.0,582770457018.0,0.3855633668625579,4835,241
202304,2023-04,1401676628188.0,548431697995.0,0.3912683474675455,4870,243
202305,2023-05,1380481409264.0,572761090811.0,0.41489953212507663,4899,244
202306,2023-06,1290734593608.0,479075581068.0,0.371165058595692,4939,246
202307,2023-07,1300589290945.0,466629526046.0,0.3587831526022715,4977,248
202308,2023-08,1532346851130.0,630158861370.0,0.41123774353391424,5010,250
202309,2023-09,1124428897717.0,413354812908.0,0.36761311786566564,5031,251
202310,2023-10,1099239588790.0,424246893468.0,0.38594579179503025,5042,252
202311,2023-11,1510370852565.0,541257850959.0,0.3583608952991938,5059,252
202312,2023-12,1308524566014.0,442861156357.0,0.3384431350081828,5080,254
202401,2024-01,1424087872882.0,484184528735.0,0.33999624458224675,5094,254
202402,2024-02,1373018080655.0,433081039066.0,0.31542267736153784,5100,255
202403,2024-03,1706727438875.0,569510377508.0,0.33368560470522246,5110,255
202404,2024-04,1612987988788.0,547886438017.0,0.3396717407850521,5115,255
202405,2024-05,1488577527814.0,527439733570.0,0.3543246647989868,5117,255
202406,2024-06,1204316079940.0,425672951907.0,0.3534561723432335,5123,256
202407,2024-07,1377928061246.0,499264467504.0,0.3623298498272377,5129,256
202408,2024-08,1336320633497.0,500912385138.0,0.37484445916783377,5136,256
202409,2024-09,1537791926458.0,576858820493.0,0.3751215041307184,5144,257
202410,2024-10,2851891125741.0,1033448129671.0,0.3623729252295638,5152,257
202411,2024-11,3316372063512.0,1267680868684.0,0.38224929061232665,5158,257
202412,2024-12,3045195035711.0,1184906061672.0,0.3891067888186495,5166,258
202501,2025-01,1798843740220.0,705494085654.0,0.39219309041691275,5177,258
202502,2025-02,2362661583388.0,906995540691.0,0.38388720037949325,5178,258
202503,2025-03,2370190155573.0,785159866944.0,0.33126450428370185,5191,259
202504,2025-04,2160430546482.0,710172072572.0,0.328717844565024,5199,259
