日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-01-02,10:35:05,基金,30年国债(511090.XSHG),买,市价单,100股,125.628,12562.8,100股,-,0,5,全部成交,2025-01-02 10:35:05
2025-01-03,09:40:20,基金,银行ETF(512800.XSHG),买,市价单,17300股,1.446,25015.8,17300股,-,0,5,全部成交,2025-01-03 09:40:20
2025-01-08,10:35:00,基金,30年国债(511090.XSHG),卖,市价单,-100股,126.18,-12618,-100股,-,55.2,5,全部成交,2025-01-08 10:35:00
2025-01-08,10:35:05,基金,南方原油(501018.XSHG),买,市价单,19400股,1.286,24948.4,19400股,-,0,5,全部成交,2025-01-08 10:35:05
2025-01-21,10:35:00,基金,南方原油(501018.XSHG),卖,市价单,-19400股,1.334,-25879.6,-19400股,-,931.2,5,全部成交,2025-01-21 10:35:00
2025-01-21,10:35:05,基金,德国ETF(513030.XSHG),买,市价单,14900股,1.724,25687.6,14900股,-,0,5,全部成交,2025-01-21 10:35:05
2025-01-23,10:35:05,基金,南方原油(501018.XSHG),买,市价单,100股,1.306,130.6,100股,-,0,5,全部成交,2025-01-23 10:35:05
2025-01-24,10:35:00,基金,德国ETF(513030.XSHG),卖,市价单,-14900股,1.872,-27892.8,-14900股,-,2205.2,5,全部成交,2025-01-24 10:35:00
2025-01-24,10:35:05,基金,豆粕ETF(159985.XSHE),买,市价单,13800股,1.936,26716.8,13800股,-,0,5,全部成交,2025-01-24 10:35:05
2025-01-27,10:35:00,基金,南方原油(501018.XSHG),卖,市价单,-100股,1.29,-129,-100股,-,-1.6,5,全部成交,2025-01-27 10:35:00
2025-02-06,09:40:00,基金,银行ETF(512800.XSHG),卖,市价单,-17300股,1.485,-25690.5,-17300股,-,674.7,5,全部成交,2025-02-06 09:40:00
2025-02-10,10:35:00,基金,豆粕ETF(159985.XSHE),卖,市价单,-13800股,1.985,-27393,-13800股,-,676.2,5,全部成交,2025-02-10 10:35:00
2025-02-10,10:35:05,基金,德国ETF(513030.XSHG),买,市价单,16500股,1.642,27093,16500股,-,0,5,全部成交,2025-02-10 10:35:05
2025-02-11,10:35:00,基金,德国ETF(513030.XSHG),卖,市价单,-16500股,1.638,-27027,-16500股,-,-66,5,全部成交,2025-02-11 10:35:00
2025-02-11,10:35:05,基金,科技HK(513020.XSHG),买,市价单,27300股,0.995,27163.5,27300股,-,0,5,全部成交,2025-02-11 10:35:05
2025-02-12,10:35:00,基金,科技HK(513020.XSHG),卖,市价单,-27300股,1.01,-27573,-27300股,-,409.5,5,全部成交,2025-02-12 10:35:00
