日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-11-14,09:30:03,股票,合金投资(000633.XSHE),买,市价单,3000股,8.2,24600,3000股,-,0,7.38,全部成交,2025-11-14 09:30:03
2025-11-17,09:30:03,股票,嘉应制药(002198.XSHE),买,市价单,3000股,8.43,25290,3000股,-,0,7.59,全部成交,2025-11-17 09:30:03
2025-11-17,14:50:00,股票,合金投资(000633.XSHE),卖,市价单,-3000股,7.56,-22680,-3000股,-,-1920,29.48,全部成交,2025-11-17 14:50:00
2025-11-18,09:30:18,股票,真爱美家(003041.XSHE),买,市价单,400股,49.63,19852,400股,-,0,5.96,全部成交,2025-11-18 09:30:18
2025-11-18,14:50:00,股票,嘉应制药(002198.XSHE),卖,市价单,-3000股,7.59,-22770,-3000股,-,-2520,29.6,全部成交,2025-11-18 14:50:00
2025-11-19,09:30:06,股票,金圆股份(000546.XSHE),买,市价单,3300股,7.6,25080,3300股,-,0,7.52,全部成交,2025-11-19 09:30:06
2025-11-19,11:25:00,股票,真爱美家(003041.XSHE),卖,市价单,-400股,53.96,-21584,-400股,-,1732,28.06,全部成交,2025-11-19 11:25:00
2025-11-20,09:30:00,股票,英利汽车(601279.XSHG),买,市价单,3800股,5.78,21964,3800股,-,0,6.59,全部成交,2025-11-20 09:30:00
2025-11-20,11:25:00,股票,金圆股份(000546.XSHE),卖,市价单,-3300股,7.87,-25971,-3300股,-,891,33.76,全部成交,2025-11-20 11:25:00
2025-11-21,11:25:00,股票,英利汽车(601279.XSHG),卖,市价单,-3800股,5.97,-22686,-3800股,-,722,29.49,全部成交,2025-11-21 11:25:00
