日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-02-05,09:25:00,股票,赤峰黄金(600988.XSHG),买,市价单,700股,18.47,12929,700股,-,0,5,全部成交,2025-02-05 09:30:00
2025-02-06,09:25:00,股票,光线传媒(300251.XSHE),买,市价单,1100股,11.88,13068,1100股,-,0,5,全部成交,2025-02-06 09:30:00
2025-02-06,09:25:00,股票,华大基因(300676.XSHE),买,市价单,300股,40.21,12063,300股,-,0,5,全部成交,2025-02-06 09:30:00
2025-02-07,09:25:00,股票,华大基因(300676.XSHE),卖,市价单,-300股,46.32,-13896,-300股,-,1833,18.9,全部成交,2025-02-07 09:30:00
2025-02-10,09:25:00,股票,光线传媒(300251.XSHE),买,市价单,900股,14.1,12690,900股,-,0,5,全部成交,2025-02-10 09:30:00
2025-02-11,09:25:00,股票,光线传媒(300251.XSHE),卖,市价单,-2000股,17.36,-34720,-2000股,-,8962,45.14,全部成交,2025-02-11 09:30:00
2025-02-12,09:25:00,股票,光线传媒(300251.XSHE),买,市价单,700股,21.26,14882,700股,-,0,5,全部成交,2025-02-12 09:30:00
2025-02-12,09:25:00,股票,拓维信息(002261.XSHE),买,市价单,600股,27.96,16776,600股,-,0,5.03,全部成交,2025-02-12 09:30:00
2025-02-14,09:25:00,股票,光线传媒(300251.XSHE),卖,市价单,-700股,32.14,-22498,-700股,-,7616,29.25,全部成交,2025-02-14 09:30:00
2025-02-17,09:25:00,股票,广电运通(002152.XSHE),买,市价单,1600股,12.99,20784,1600股,-,0,6.24,全部成交,2025-02-17 09:30:00
2025-02-20,09:25:00,股票,拓维信息(002261.XSHE),卖,市价单,-600股,35.1,-21060,-600股,-,4284,27.38,全部成交,2025-02-20 09:30:00
2025-02-21,09:25:00,股票,盈峰环境(000967.XSHE),买,市价单,3400股,6.48,22032,3400股,-,0,6.61,全部成交,2025-02-21 09:30:00
2025-02-25,09:25:00,股票,赤峰黄金(600988.XSHG),卖,市价单,-700股,19.62,-13734,-700股,-,805,18.73,全部成交,2025-02-25 09:30:00
2025-02-26,09:25:00,股票,华菱钢铁(000932.XSHE),买,市价单,4800股,4.35,20880,4800股,-,0,6.26,全部成交,2025-02-26 09:30:00
2025-02-28,09:25:00,股票,华菱钢铁(000932.XSHE),卖,市价单,-4800股,4.86,-23328,-4800股,-,2448,30.33,全部成交,2025-02-28 09:30:00
2025-03-03,09:25:00,股票,盈峰环境(000967.XSHE),卖,市价单,-3400股,5.7,-19380,-3400股,-,-2652,25.19,全部成交,2025-03-03 09:30:00
2025-03-10,09:25:00,股票,广电运通(002152.XSHE),卖,市价单,-1600股,14.26,-22816,-1600股,-,2032,29.66,全部成交,2025-03-10 09:30:00
2025-03-11,09:25:00,股票,中兵红箭(000519.XSHE),买,市价单,1200股,16.74,20088,1200股,-,0,6.03,全部成交,2025-03-11 09:30:00
2025-03-11,09:25:00,股票,贝泰妮(300957.XSHE),买,市价单,400股,44.42,17768,400股,-,0,5.33,全部成交,2025-03-11 09:30:00
2025-03-11,09:25:00,股票,盛和资源(600392.XSHG),买,市价单,1800股,11.4,20520,1800股,-,0,6.16,全部成交,2025-03-11 09:30:00
2025-03-25,09:25:00,股票,中兵红箭(000519.XSHE),卖,市价单,-1200股,16.67,-20004,-1200股,-,-84,26.01,全部成交,2025-03-25 09:30:00
2025-03-25,09:25:00,股票,贝泰妮(300957.XSHE),卖,市价单,-400股,44.22,-17688,-400股,-,-80,22.99,全部成交,2025-03-25 09:30:00
2025-03-25,09:25:00,股票,盛和资源(600392.XSHG),卖,市价单,-1800股,11.22,-20196,-1800股,-,-324,26.25,全部成交,2025-03-25 09:30:00
2025-03-31,09:25:00,股票,中南传媒(601098.XSHG),买,市价单,1600股,13,20800,1600股,-,0,6.24,全部成交,2025-03-31 09:30:00
2025-04-01,09:25:00,股票,中南传媒(601098.XSHG),卖,市价单,-1600股,13.38,-21408,-1600股,-,608,27.83,全部成交,2025-04-01 09:30:00
2025-04-03,09:25:00,股票,浙江新能(600032.XSHG),买,市价单,2600股,7.62,19812,2600股,-,0,5.94,全部成交,2025-04-03 09:30:00
2025-04-07,09:25:00,股票,浙江新能(600032.XSHG),卖,市价单,-2600股,8.08,-21008,-2600股,-,1196,27.31,全部成交,2025-04-07 09:30:00
2025-04-08,09:25:00,股票,北大荒(600598.XSHG),买,市价单,1300股,15.47,20111,1300股,-,0,6.03,全部成交,2025-04-08 09:30:00
2025-04-09,09:25:00,股票,北大荒(600598.XSHG),卖,市价单,-1300股,17.76,-23088,-1300股,-,2977,30.01,全部成交,2025-04-09 09:30:00
2025-04-11,09:25:00,股票,石英股份(603688.XSHG),买,市价单,500股,41.74,20870,500股,-,0,6.26,全部成交,2025-04-11 09:30:00
2025-04-11,09:25:00,股票,海思科(002653.XSHE),买,市价单,500股,42.6,21300,500股,-,0,6.39,全部成交,2025-04-11 09:30:00
2025-04-14,09:25:00,股票,石英股份(603688.XSHG),卖,市价单,-500股,42.82,-21410,-500股,-,540,27.83,全部成交,2025-04-14 09:30:00
2025-04-14,09:25:00,股票,海思科(002653.XSHE),卖,市价单,-500股,46.6,-23300,-500股,-,2000,30.29,全部成交,2025-04-14 09:30:00
2025-04-16,09:25:00,股票,赤峰黄金(600988.XSHG),买,市价单,800股,28.72,22976,800股,-,0,6.89,全部成交,2025-04-16 09:30:00
2025-04-17,09:25:00,股票,赤峰黄金(600988.XSHG),卖,市价单,-800股,30.6,-24480,-800股,-,1504,31.82,全部成交,2025-04-17 09:30:00
2025-04-24,09:25:00,股票,乖宝宠物(301498.XSHE),买,市价单,200股,103.4,20680,200股,-,0,6.2,全部成交,2025-04-24 09:30:00
2025-04-25,09:25:00,股票,乖宝宠物(301498.XSHE),卖,市价单,-200股,114.58,-22916,-200股,-,2236,29.79,全部成交,2025-04-25 09:30:00
2025-04-28,09:25:00,股票,京能电力(600578.XSHG),买,市价单,6200股,4.06,25172,6200股,-,0,7.55,全部成交,2025-04-28 09:30:00
2025-04-28,09:25:00,股票,珀莱雅(603605.XSHG),买,市价单,200股,84.22,16844,200股,-,0,5.05,全部成交,2025-04-28 09:30:00
2025-04-28,09:25:00,股票,首钢股份(000959.XSHE),买,市价单,6900股,3.48,24012,6900股,-,0,7.2,全部成交,2025-04-28 09:30:00
2025-04-29,09:25:00,股票,京能电力(600578.XSHG),卖,市价单,-6200股,4.11,-25482,-6200股,-,310,33.13,全部成交,2025-04-29 09:30:00
2025-04-29,09:25:00,股票,珀莱雅(603605.XSHG),卖,市价单,-200股,90.76,-18152,-200股,-,1308,23.6,全部成交,2025-04-29 09:30:00
2025-04-29,09:25:00,股票,首钢股份(000959.XSHE),卖,市价单,-6900股,3.68,-25392,-6900股,-,1380,33.01,全部成交,2025-04-29 09:30:00
2025-05-07,09:25:00,股票,海亮股份(002203.XSHE),买,市价单,2700股,9.47,25569,2700股,-,0,7.67,全部成交,2025-05-07 09:30:00
2025-05-08,09:25:00,股票,海亮股份(002203.XSHE),卖,市价单,-2700股,9.75,-26325,-2700股,-,756,34.22,全部成交,2025-05-08 09:30:00
2025-05-08,09:25:00,股票,中航成飞(302132.XSHE),买,市价单,300股,69.48,20844,300股,-,0,6.25,全部成交,2025-05-08 09:30:00
2025-05-08,09:25:00,股票,中航重机(600765.XSHG),买,市价单,1500股,15.9,23850,1500股,-,0,7.15,全部成交,2025-05-08 09:30:00
2025-05-09,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-0股,--,0,-300股,-,-0,0,已撤单,2025-05-09 09:25:00
2025-05-09,09:25:00,股票,中航重机(600765.XSHG),卖,市价单,-1500股,16.94,-25410,-1500股,-,1560,33.03,全部成交,2025-05-09 09:30:00
2025-05-09,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-300股,87.34,-26202,-300股,-,5358,34.06,全部成交,2025-05-09 09:30:00
2025-05-12,09:25:00,股票,浙江鼎力(603338.XSHG),买,市价单,500股,45.96,22980,500股,-,0,6.89,全部成交,2025-05-12 09:30:00
2025-05-12,09:25:00,股票,中航成飞(302132.XSHE),买,市价单,300股,77.42,23226,300股,-,0,6.97,全部成交,2025-05-12 09:30:00
2025-05-13,09:25:00,股票,浙江鼎力(603338.XSHG),卖,市价单,-500股,50.84,-25420,-500股,-,2440,33.05,全部成交,2025-05-13 09:30:00
2025-05-13,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-0股,--,0,-300股,-,-0,0,已撤单,2025-05-13 09:25:00
