日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-02-06,10:30:00,股票,恒大高新(002591.XSHE),买,市价单,3300股,5,16500,3300股,-,0,5,全部成交,2025-02-06 10:30:00
2025-02-06,10:30:00,股票,国统股份(002205.XSHE),买,市价单,2000股,8.32,16640,2000股,-,0,5,全部成交,2025-02-06 10:30:00
2025-02-06,10:30:00,股票,天顺股份(002800.XSHE),买,市价单,1600股,10.39,16624,1600股,-,0,5,全部成交,2025-02-06 10:30:00
2025-02-19,14:25:00,股票,恒大高新(002591.XSHE),卖,市价单,-3300股,5.35,-17655,-3300股,-,1155,22.66,全部成交,2025-02-19 14:25:00
2025-02-19,14:25:00,股票,凤形股份(002760.XSHE),买,市价单,1000股,16.64,16640,1000股,-,0,5,全部成交,2025-02-19 14:25:00
2025-02-25,14:25:00,股票,凤形股份(002760.XSHE),卖,市价单,-1000股,19.56,-19560,-1000股,-,2920,24.56,全部成交,2025-02-25 14:25:00
2025-02-25,14:25:00,股票,恒大高新(002591.XSHE),买,市价单,3400股,5.39,18326,3400股,-,0,5,全部成交,2025-02-25 14:25:00
2025-02-26,14:25:00,股票,恒大高新(002591.XSHE),卖,市价单,-3400股,5.49,-18666,-3400股,-,340,23.67,全部成交,2025-02-26 14:25:00
2025-02-26,14:25:00,股票,名雕股份(002830.XSHE),买,市价单,1400股,13.19,18466,1400股,-,0,5,全部成交,2025-02-26 14:25:00
2025-03-11,14:25:00,股票,国统股份(002205.XSHE),卖,市价单,-2000股,10.64,-21280,-2000股,-,4640,26.28,全部成交,2025-03-11 14:25:00
2025-03-11,14:25:00,股票,恒大高新(002591.XSHE),买,市价单,3600股,5.43,19548,3600股,-,0,5,全部成交,2025-03-11 14:25:00
2025-03-21,14:25:00,股票,恒大高新(002591.XSHE),卖,市价单,-3600股,5.69,-20484,-3600股,-,936,25.48,全部成交,2025-03-21 14:25:00
2025-03-21,14:25:00,股票,大洋生物(003017.XSHE),买,市价单,900股,21.58,19422,900股,-,0,5,全部成交,2025-03-21 14:25:00
2025-04-01,14:50:00,股票,天顺股份(002800.XSHE),卖,市价单,-1600股,10.39,-16624,-1600股,-,0,21.62,全部成交,2025-04-01 14:50:00
2025-04-01,14:50:00,股票,名雕股份(002830.XSHE),卖,市价单,-1400股,12.61,-17654,-1400股,-,-812,22.65,全部成交,2025-04-01 14:50:00
2025-04-01,14:50:00,股票,大洋生物(003017.XSHE),卖,市价单,-900股,21.46,-19314,-900股,-,-108,24.31,全部成交,2025-04-01 14:50:00
2025-04-01,14:50:00,股票,招商银行(600036.XSHG),买,市价单,400股,42.9,17160,400股,-,0,5,全部成交,2025-04-01 14:50:00
2025-04-01,14:50:00,基金,黄金ETF(518880.XSHG),买,市价单,2700股,7.056,19051.2,2700股,-,0,5.72,全部成交,2025-04-01 14:50:00
2025-04-01,14:50:00,股票,长江电力(600900.XSHG),买,市价单,700股,27.9,19530,700股,-,0,5,全部成交,2025-04-01 14:50:00
2025-05-07,10:30:00,股票,招商银行(600036.XSHG),卖,市价单,-400股,41.76,-16704,-400股,-,-456,21.7,全部成交,2025-05-07 10:30:00
2025-05-07,10:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-2700股,7.656,-20671.2,-2700股,-,1620,6.2,全部成交,2025-05-07 10:30:00
2025-05-07,10:30:00,股票,长江电力(600900.XSHG),卖,市价单,-700股,29.32,-20524,-700股,-,994,25.52,全部成交,2025-05-07 10:30:00
2025-05-07,10:30:00,股票,麦趣尔(002719.XSHE),买,市价单,2300股,8.62,19826,2300股,-,0,5,全部成交,2025-05-07 10:30:00
2025-05-07,10:30:00,股票,海象新材(003011.XSHE),买,市价单,1100股,17.3,19030,1100股,-,0,5,全部成交,2025-05-07 10:30:00
2025-05-07,10:30:00,股票,名雕股份(002830.XSHE),买,市价单,1400股,14.44,20216,1400股,-,0,5,全部成交,2025-05-07 10:30:00
2025-07-14,14:55:00,股票,名雕股份(002830.XSHE),卖,市价单,-1400股,15.46,-21644,-1400股,-,1772.82,26.64,全部成交,2025-07-14 14:55:00
2025-07-15,10:30:00,股票,名雕股份(002830.XSHE),买,市价单,1400股,15.03,21042,1400股,-,0,5,全部成交,2025-07-15 10:30:00
2025-07-29,14:25:00,股票,海象新材(003011.XSHE),卖,市价单,-1100股,21.18,-23298,-1100股,-,4594.81,28.3,全部成交,2025-07-29 14:25:00
2025-07-29,14:25:00,股票,麦趣尔(002719.XSHE),卖,市价单,-2300股,9.35,-21505,-2300股,-,1679,26.5,全部成交,2025-07-29 14:25:00
2025-07-29,14:25:00,股票,贝肯能源(002828.XSHE),买,市价单,2200股,10.28,22616,2200股,-,0,5,全部成交,2025-07-29 14:25:00
2025-07-29,14:25:00,股票,凤形股份(002760.XSHE),买,市价单,1100股,19.59,21549,1100股,-,0,5,全部成交,2025-07-29 14:25:00
2025-07-30,14:55:00,股票,贝肯能源(002828.XSHE),卖,市价单,-2200股,10.51,-23122,-2200股,-,506,28.12,全部成交,2025-07-30 14:55:00
2025-07-30,14:55:00,股票,天顺股份(002800.XSHE),买,市价单,1600股,14.03,22448,1600股,-,0,5,全部成交,2025-07-30 14:55:00
2025-08-01,14:25:00,股票,凤形股份(002760.XSHE),卖,市价单,-1100股,20.22,-22242,-1100股,-,693,27.24,全部成交,2025-08-01 14:25:00
2025-08-05,10:30:00,股票,名雕股份(002830.XSHE),卖,市价单,-1400股,16.23,-22722,-1400股,-,1680,27.72,全部成交,2025-08-05 10:30:00
2025-08-05,10:30:00,股票,麦趣尔(002719.XSHE),买,市价单,2400股,9.63,23112,2400股,-,0,5,全部成交,2025-08-05 10:30:00
2025-08-05,10:30:00,股票,贝肯能源(002828.XSHE),买,市价单,2300股,10.25,23575,2300股,-,0,5,全部成交,2025-08-05 10:30:00
2025-08-11,14:55:00,股票,贝肯能源(002828.XSHE),卖,市价单,-2300股,10.88,-25024,-2300股,-,1449,30.02,全部成交,2025-08-11 14:55:00
2025-08-11,14:55:00,股票,同德化工(002360.XSHE),买,市价单,4800股,5.49,26352,4800股,-,0,5,全部成交,2025-08-11 14:55:00
2025-08-12,14:25:00,股票,天顺股份(002800.XSHE),卖,市价单,-1600股,16.77,-26832,-1600股,-,4384,31.83,全部成交,2025-08-12 14:25:00
2025-08-12,14:25:00,股票,贝肯能源(002828.XSHE),买,市价单,2400股,10.79,25896,2400股,-,0,5,全部成交,2025-08-12 14:25:00
2025-08-21,14:25:00,股票,贝肯能源(002828.XSHE),卖,市价单,-2400股,10.94,-26256,-2400股,-,360,31.26,全部成交,2025-08-21 14:25:00
2025-08-21,14:25:00,股票,海象新材(003011.XSHE),买,市价单,1200股,21.53,25836,1200股,-,0,5,全部成交,2025-08-21 14:25:00
2025-09-02,10:30:00,股票,同德化工(002360.XSHE),卖,市价单,-4800股,5.1,-24480,-4800股,-,-1872,29.48,全部成交,2025-09-02 10:30:00
2025-09-02,10:30:00,股票,中天服务(002188.XSHE),买,市价单,4300股,5.6,24080,4300股,-,0,5,全部成交,2025-09-02 10:30:00
2025-09-03,14:55:00,股票,中天服务(002188.XSHE),卖,市价单,-4300股,5.35,-23005,-4300股,-,-1075,28,全部成交,2025-09-03 14:55:00
2025-09-03,14:55:00,股票,贝肯能源(002828.XSHE),买,市价单,2300股,10.2,23460,2300股,-,0,5,全部成交,2025-09-03 14:55:00
2025-09-10,14:25:00,股票,贝肯能源(002828.XSHE),卖,市价单,-2300股,11.18,-25714,-2300股,-,2254,30.71,全部成交,2025-09-10 14:25:00
2025-09-10,14:25:00,股票,中天服务(002188.XSHE),买,市价单,4400股,5.79,25476,4400股,-,0,5,全部成交,2025-09-10 14:25:00
2025-09-23,10:00:00,股票,麦趣尔(002719.XSHE),卖,市价单,-2400股,8.52,-20448,-2400股,-,-2664,25.45,全部成交,2025-09-23 10:00:00
2025-09-23,10:30:00,股票,麦趣尔(002719.XSHE),买,市价单,2600股,8.45,21970,2600股,-,0,5,全部成交,2025-09-23 10:30:00
2025-10-28,10:30:00,股票,海象新材(003011.XSHE),卖,市价单,-1200股,22.75,-27300,-1200股,-,1820.4,32.3,全部成交,2025-10-28 10:30:00
2025-10-28,10:30:00,股票,麦趣尔(002719.XSHE),卖,市价单,-2600股,9.43,-24518,-2600股,-,2548,29.52,全部成交,2025-10-28 10:30:00
2025-10-28,10:30:00,股票,亚联发展(002316.XSHE),买,市价单,4900股,5.46,26754,4900股,-,0,5,全部成交,2025-10-28 10:30:00
2025-10-28,10:30:00,股票,贝肯能源(002828.XSHE),买,市价单,2200股,11.52,25344,2200股,-,0,5,全部成交,2025-10-28 10:30:00
2025-11-04,10:30:00,股票,亚联发展(002316.XSHE),卖,市价单,-4900股,5.44,-26656,-4900股,-,-98,31.66,全部成交,2025-11-04 10:30:00
2025-11-04,10:30:00,股票,三夫户外(002780.XSHE),买,市价单,1700股,14.99,25483,1700股,-,0,5,全部成交,2025-11-04 10:30:00
2025-11-11,14:55:00,股票,三夫户外(002780.XSHE),卖,市价单,-1700股,16.05,-27285,-1700股,-,1802,32.28,全部成交,2025-11-11 14:55:00
2025-11-11,14:55:00,股票,天元股份(003003.XSHE),买,市价单,2000股,13.44,26880,2000股,-,0,5,全部成交,2025-11-11 14:55:00
