日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2025-11-13,,Cash,,,,,50000,,,,,,,,0
2025-11-14,股票,中天服务(002188.XSHE),多,1800股,0股,6.66,11988,-90,6.71,-,0,-90,1800股,-0.75%,49987,23.98%
2025-11-14,股票,天元股份(003003.XSHE),多,900股,0股,13.87,12483,207,13.64,-,0,207,900股,1.69%,49987,24.97%
2025-11-14,股票,宏达高科(002144.XSHE),多,800股,0股,14.09,11272,-200,14.34,-,0,-200,800股,-1.74%,49987,22.55%
2025-11-14,股票,贝肯能源(002828.XSHE),多,1000股,0股,12.43,12430,90,12.34,-,0,90,1000股,0.73%,49987,24.87%
2025-11-14,,Cash,,,,,1814,,,,,,,,0
2025-11-17,股票,中天服务(002188.XSHE),多,1800股,1800股,6.74,12132,54,6.71,-,0,144,0股,0.45%,49870,24.33%
2025-11-17,股票,天元股份(003003.XSHE),多,900股,900股,13.72,12348,72,13.64,-,0,-135,0股,0.59%,49870,24.76%
2025-11-17,股票,宏达高科(002144.XSHE),多,800股,800股,14.02,11216,-256,14.34,-,0,-56,0股,-2.23%,49870,22.49%
2025-11-17,股票,贝肯能源(002828.XSHE),多,1000股,1000股,12.36,12360,20,12.34,-,0,-70,0股,0.16%,49870,24.78%
2025-11-17,,Cash,,,,,1814,,,,,,,,0
2025-11-18,股票,中天服务(002188.XSHE),多,1800股,1800股,6.64,11952,-126,6.71,-,0,-180,0股,-1.04%,49520,24.14%
2025-11-18,股票,天元股份(003003.XSHE),多,900股,900股,13.54,12186,-90,13.64,-,0,-162,0股,-0.73%,49520,24.61%
2025-11-18,股票,宏达高科(002144.XSHE),多,800股,800股,14.41,11528,56,14.34,-,0,312,0股,0.49%,49520,23.28%
2025-11-18,股票,贝肯能源(002828.XSHE),多,1000股,1000股,12.04,12040,-300,12.34,-,0,-320,0股,-2.43%,49520,24.31%
2025-11-18,,Cash,,,,,1814,,,,,,,,0
2025-11-19,股票,中天服务(002188.XSHE),多,1800股,1800股,6.43,11574,-504,6.71,-,0,-378,0股,-4.17%,48249,23.99%
2025-11-19,股票,天元股份(003003.XSHE),多,900股,900股,13.17,11853,-423,13.64,-,0,-333,0股,-3.45%,48249,24.57%
2025-11-19,股票,宏达高科(002144.XSHE),多,800股,800股,13.76,11008,-464,14.34,-,0,-520,0股,-4.04%,48249,22.81%
2025-11-19,股票,贝肯能源(002828.XSHE),多,1000股,1000股,12,12000,-340,12.34,-,0,-40,0股,-2.76%,48249,24.87%
2025-11-19,,Cash,,,,,1814,,,,,,,,0
2025-11-20,股票,中天服务(002188.XSHE),多,1800股,1800股,6.39,11502,-576,6.71,-,0,-72,0股,-4.77%,48141.64,23.89%
2025-11-20,股票,天元股份(003003.XSHE),多,900股,900股,13.07,11763,-513,13.64,-,0,-90,0股,-4.18%,48141.64,24.43%
2025-11-20,股票,贝肯能源(002828.XSHE),多,1000股,1000股,11.71,11710,-630,12.34,-,0,-290,0股,-5.11%,48141.64,24.32%
2025-11-20,股票,联诚精密(002921.XSHE),多,700股,0股,15.34,10738,14,15.32,-,0,14,700股,0.13%,48141.64,22.31%
2025-11-20,,Cash,,,,,2428.64,,,,,,,,0
2025-11-21,股票,中天服务(002188.XSHE),多,1800股,1800股,5.94,10692,-1386,6.71,-,0,-810,0股,-11.48%,45608.42,23.44%
2025-11-21,股票,天元股份(003003.XSHE),多,900股,900股,12.27,11043,-1233,13.64,-,0,-720,0股,-10.04%,45608.42,24.21%
2025-11-21,股票,联诚精密(002921.XSHE),多,700股,700股,14.63,10241,-483,15.32,-,0,-497,0股,-4.5%,45608.42,22.45%
2025-11-21,,Cash,,,,,13632.42,,,,,,,,0
2025-11-24,股票,天元股份(003003.XSHE),多,900股,900股,12.71,11439,-837,13.64,-,0,396,0股,-6.82%,46460.49,24.62%
2025-11-24,股票,联诚精密(002921.XSHE),多,700股,700股,14.97,10479,-245,15.32,-,0,238,0股,-2.28%,46460.49,22.55%
2025-11-24,,Cash,,,,,24542.49,,,,,,,,0
2025-11-25,股票,天元股份(003003.XSHE),多,900股,900股,12.94,11646,-630,13.64,-,0,207,0股,-5.13%,46651.49,24.96%
