初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
1,002568,百润股份,19.06,4.38,0.80,39.3万,2719,19.06,19.11,-0.63,5.15,7.51亿,22.93, 非白酒,19.44,18.62,18.99,18.26,4.49,4.62,35.79,253,19.12,19.5万,19.8万,0.99,45,40,3.94,10.42亿,198.5亿,7.631亿,145.4亿,12.51,11.59,8.02,10.72,2026/04/29,18.26,4.38%,2,12.45,-12.61,8.91,-20.48,10.00,16.0万,2.92亿,4.62,5.15,0.37,11.27,12.45,8.91,9.80,13.35,2,198.5亿,145.4亿,1.74万,22.93,29.52,3.94,6.77,1.57,0.530,0.646,4.27,6.66,8.54,19.34,-7.93,0.33,70.31,33.8亿,39.53,48.80,4.00,0.1190,0.1824,9080,1724万,210,39.96万,1.92,5.67,—,—,—,—,—,2770万,1.52万,—,9.47,—,0,1,昨日首板,-3890万,-0.41,5269万
2,000716,黑芝麻,5.14,-0.77,-0.04,47.8万,1.61万,5.13,5.14,0.39,6.46,2.46亿,425.61, 休闲食品,5.28,5.08,5.20,5.18,3.86,2.10,42.10,6457,5.16,25.4万,22.3万,1.14,520,190,1.52,7.529亿,38.70亿,7.388亿,37.97亿,11.98,1.18,18.01,21.87,2026/04/29,5.18,-0.77%,-1,-2.28,-17.50,-2.84,-24.74,9.98,45.1万,2.30亿,2.10,6.46,-1.15,3.01,-2.28,-2.84,20.33,26.03,-1,38.70亿,37.97亿,8795,425.61,90.41,1.52,1.65,0.97,0.009,0.057,0.27,0.19,-7.52,-83.67,-114.28,0.07,22.64,18.7亿,40.85,0.00,0.39,0.2434,0.3448,1.80万,935万,69,3.59万,3.37,3.99,—,—,—,—,—,4343万,8.38万,—,18.59,—,0,1,昨日首板,-824万,-0.31,7218万
3,000818,航锦科技,15.32,-0.65,-0.10,75.5万,1.10万,15.32,15.33,-0.20,11.47,11.81亿,499.27, 化学原料,16.41,15.30,16.00,15.42,7.20,1.74,68.37,4302,15.65,42.1万,33.4万,1.26,918,12,4.38,6.600亿,101.1亿,6.582亿,100.8亿,8.73,5.58,27.01,44.46,2026/04/29,15.42,-0.65%,-1,-27.19,-20.62,-27.84,-33.59,9.99,75.6万,11.51亿,1.74,11.47,-4.25,4.57,-27.19,-27.84,38.67,64.87,-1,101.1亿,100.8亿,5302,499.27,-10.06,4.38,2.40,—,0.020,-1.522,0.66,0.78,1.38,-62.72,-92.68,0.22,18.49,58.6亿,67.96,0.00,3.76,0.4036,0.5535,2.66万,4250万,755,121万,3.91,3.51,—,—,—,—,—,4861万,3.15万,—,4.17,—,0,3,昨日首板,-5969万,-0.81,1.90亿
4,000039,中集集团,12.39,-0.32,-0.04,74.5万,5899,12.39,12.40,0.32,3.24,9.19亿,302.57, 通用设备,12.60,12.05,12.52,12.43,4.42,1.51,-22.73,-1118,12.33,35.7万,38.9万,0.92,371,300,1.44,53.93亿,668.1亿,23.01亿,285.1亿,11.02,6.81,8.71,13.94,2026/04/29,12.43,-0.32%,-1,14.40,22.79,13.67,69.03,10.00,86.6万,10.39亿,1.51,3.24,-1.04,9.26,14.40,13.67,12.29,25.12,-1,668.1亿,285.1亿,6.46万,302.57,302.57,1.44,0.43,1.41,0.030,0.041,0.29,0.78,-11.85,-92.57,-100.90,0.24,12.45,1000亿,59.94,425.28,0.72,0.0276,0.0319,6360,796万,19,2.39万,10.69,0.73,—,—,—,—,—,4862万,3.91万,—,4.52,—,0,3,昨日首板,1.44亿,0.58,2.86亿
5,600392,盛和资源,26.03,-0.61,-0.16,95.8万,1.01万,26.03,26.04,-0.08,5.46,25.02亿,43.45, 小金属,26.59,25.81,26.19,26.19,2.98,1.19,-5.68,-701,26.13,47.9万,47.8万,1.00,1618,1916,3.43,17.53亿,456.3亿,17.53亿,456.3亿,7.21,-4.93,14.50,28.52,2026/04/29,26.19,-0.61%,-1,16.21,20.90,13.47,157.98,10.00,111万,28.29亿,1.18,5.46,-0.61,4.29,16.21,13.47,21.06,47.84,-1,456.3亿,456.3亿,9346,43.45,50.59,3.43,3.36,0.46,0.449,0.515,8.55,4.37,26.87,748.07,825.82,0.07,10.09,72.2亿,32.59,73.12,0.00,0.1047,0.1420,1.84万,4808万,1742,456万,6.74,1.65,—,—,—,—,—,5730万,2.19万,—,1.97,—,0,3,昨日首板,-1.66亿,-0.49,1.93亿
6,002378,章源钨业,33.86,2.86,0.94,136万,1.21万,33.85,33.86,-0.06,11.40,46.10亿,140.15, 小金属,34.73,32.35,32.80,32.92,7.23,1.76,-66.11,-5945,33.85,69.4万,66.8万,1.04,552,26,17.41,12.01亿,406.8亿,11.95亿,404.7亿,15.44,0.98,27.20,43.80,2026/04/29,32.92,2.86%,3,8.14,138.79,7.53,445.25,9.99,112万,35.49亿,1.76,11.40,3.23,7.94,8.14,7.53,36.08,73.70,3,406.8亿,404.7亿,1.22万,140.15,140.15,17.41,8.60,0.21,0.240,0.242,13.04,3.63,41.61,68.73,31.69,0.18,13.92,32.4亿,59.10,49.64,-0.36,0.1282,0.2983,1.53万,5025万,152,49.95万,2.26,1.37,—,—,—,—,—,6304万,1.92万,—,1.72,—,0,7,昨日首板,-1.09亿,-0.62,4.11亿
7,603013,亚普股份,20.41,1.90,0.38,19.0万,3192,20.41,20.50,-0.92,3.75,3.87亿,19.64, 汽车零部件,20.94,19.87,20.60,20.03,5.34,5.91,21.58,109,20.33,8.93万,10.1万,0.88,56,18,2.30,5.082亿,103.7亿,5.082亿,103.7亿,8.28,4.83,5.30,6.92,2026/04/29,20.03,1.90%,2,7.65,-17.27,5.42,39.89,9.99,5.33万,1.06亿,5.91,3.75,-0.92,6.91,7.65,5.42,6.38,9.30,2,103.7亿,103.7亿,3.03万,19.64,19.64,2.30,1.14,1.96,1.030,1.039,12.10,8.33,13.09,5.62,2.47,0.34,15.10,24.3亿,32.65,38.52,2.85,0.0697,0.3487,3542,730万,578,119万,1.33,6.65,—,—,—,—,—,6480万,3.24万,—,60.75,—,0,1,昨日首板,3835万,1.85,5524万
8,000692,惠天热电,5.00,0.81,0.04,67.7万,4635,4.99,5.00,-0.79,12.71,3.34亿,-6.31, 电力,5.16,4.80,5.16,4.96,7.26,3.90,-73.04,-6746,4.93,33.1万,34.6万,0.95,168,1882,-20.63,5.328亿,26.64亿,5.328亿,26.64亿,12.61,12.61,19.71,29.01,2026/04/29,4.96,0.81%,4,0.60,45.35,11.86,56.25,9.98,19.0万,9292万,3.90,12.71,-3.10,12.11,0.60,11.86,25.56,39.81,4,26.64亿,26.64亿,2.08万,-6.31,-13.86,-20.63,1.27,—,-0.594,-0.361,0.00,-7.62,-0.40,30.37,31.02,-0.12,-16.70,54.8亿,103.87,0.00,4.03,0.4840,0.6913,2.58万,1331万,987,50.90万,2.89,13.58,—,—,—,—,—,7403万,14.9万,—,78.63,—,0,2,昨日首板,759万,0.41,3384万
9,000402,金 融 街,3.17,10.07,0.29,123万,3978,3.17,—,0.00,4.10,3.85亿,-5.27, 房地产开发,3.17,3.02,3.11,2.88,5.21,4.26,100.00,13.9万,3.14,60.5万,62.1万,0.97,12.8万,0,0.40,29.89亿,94.75亿,29.89亿,94.74亿,20.08,15.27,5.67,8.91,2026/04/29,2.88,10.07%,2,23.83,15.27,23.35,4.28,9.92,23.7万,6815万,4.26,4.10,1.93,18.28,23.83,23.35,7.65,16.58,2,94.75亿,94.74亿,4.35万,-5.27,-0.97,0.40,0.69,—,-0.450,-3.285,-5.57,-1.26,-46.21,48.39,52.87,0.11,13.09,877亿,77.11,0.00,7.99,0.4432,0.9191,13.2万,4120万,9830,306万,1.45,55.98,09:32:15,4056万,09:33:45,4056万,12.8万,7540万,26.2万,10.44,110.63,0.43,1,4,2天2板,6859万,1.50,9913万
10,002805,丰元股份,22.85,10.01,2.08,13.0万,218,22.85,—,0.00,4.68,2.97亿,-12.82, 电池,22.85,22.22,22.68,20.77,3.03,0.62,100.00,4.30万,22.75,9.33万,3.72万,2.51,4.01万,0,6.48,2.801亿,63.99亿,2.785亿,63.65亿,24.46,26.66,22.59,42.73,2026/04/29,20.77,10.01%,5,30.87,28.88,30.95,102.03,10.01,24.5万,5.05亿,0.62,4.68,0.75,27.87,30.87,30.95,34.88,71.62,5,63.99亿,63.65亿,6055,-12.82,-10.54,6.48,3.80,—,-1.340,-2.168,-25.68,-8.24,19.70,-189.27,-178.77,0.01,-15.47,28.6亿,61.82,0.00,9.20,1.1051,1.7108,3.08万,6981万,194,43.97万,4.87,12.57,09:30:09,9162万,09:30:09,9162万,4.01万,7867万,3.79万,30.74,15.47,1.44,0,2,2天2板,1364万,0.33,1.42亿
